Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
144;2145;1,49203E+12;22:04:01;00:32:17;6;600;468,9;4608;4608;480;240;0,7815;0,77574086;0,4;0,8;;1492034623;1492034629;1492034632;1492034635;1492034637;1492034634
145;2160;1,49203E+12;22:04:13;00:32:29;6;600;472,4;4608;4608;480;240;0,7873333;0,78153706;0,4;0,8;;1492034641;1492034648;1492034649;1492034642;1492034639;1492034639
146;2175;1,49203E+12;22:04:28;00:32:44;6;600;470,6;4608;4608;480;240;0,78433335;0,7829352;0,4;0,8;;1492034660;1492034665;1492034653;1492034661;1492034658;1492034659
147;2190;1,49203E+12;22:04:43;00:32:59;6;600;466,9;4608;4608;480;240;0,77816665;0,78055096;0,4;0,8;;1492034680;1492034669;1492034673;1492034677;1492034679;1492034676
148;2205;1,49203E+12;22:05:03;00:33:19;6;600;463,49997;4608;4608;480;240;0,7725;0,7765255;0,4;0,8;;1492034696;1492034689;1492034692;1492034684;1492034698;1492034700
149;2220;1,49203E+12;22:05:13;00:33:29;6;600;461,9;4608;4608;480;240;0,7698333;0,7731794;0,4;0,8;;1492034700;1492034709;1492034708;1492034705;1492034698;1492034704
150;2235;1,49203E+12;22:05:29;00:33:45;6;600;461,9;4608;4608;480;240;0,7698333;0,77150637;0,4;0,8;;1492034720;1492034725;1492034713;1492034724;1492034718;1492034723
151;2250;1,49203E+12;22:05:47;00:34:03;6;600;455,9;4608;4608;480;240;0,75983334;0,7656698;0,4;0,8;;1492034740;1492034736;1492034734;1492034742;1492034739;1492034744
152;2265;1,49203E+12;22:05:59;00:34:15;6;600;473,9;4608;4608;480;240;0,7898333;0,77775156;0,4;0,8;;1492034754;1492034754;1492034754;1492034745;1492034752;1492034744
153;2280;1,49203E+12;22:06:14;00:34:30;6;600;486,1;4608;4608;480;240;0,81016666;0,79395914;0,4;0,8;;1492034768;1492034771;1492034769;1492034765;1492034767;1492034763
154;2295;1,49203E+12;22:06:29;00:34:45;6;600;473,4;4608;4608;480;240;0,789;0,7914796;0,4;0,8;;1492034784;1492034775;1492034774;1492034780;1492034784;1492034785
155;2310;1,49203E+12;22:06:44;00:35:00;6;600;452,4;4608;4608;480;240;0,754;0,77273977;0,4;0,8;;1492034799;1492034794;1492034794;1492034787;1492034798;1492034800
156;2325;1,49203E+12;22:06:58;00:35:14;6;600;479,1;4608;4608;480;240;0,7985;0,78561985;0,4;0,8;;1492034805;1492034815;1492034813;1492034806;1492034803;1492034804
157;2340;1,49203E+12;22:07:13;00:35:29;6;600;473,4;4608;4608;480;240;0,789;0,7873099;0,4;0,8;;1492034824;1492034815;1492034830;1492034828;1492034823;1492034827
158;2355;1,49203E+12;22:07:28;00:35:44;6;600;450,9;4608;4608;480;240;0,7515;0,76940495;0,4;0,8;;1492034845;1492034834;1492034838;1492034844;1492034843;1492034843
159;2370;1,49203E+12;22:07:44;00:36:00;6;600;472,4;4608;4608;480;240;0,7873333;0,7783691;0,4;0,8;;1492034860;1492034854;1492034857;1492034850;1492034859;1492034848
160;2385;1,49203E+12;22:07:58;00:36:14;6;600;321,6;4608;4608;480;240;0,536;0,6571846;0,4;0,8;;1492034864;1492034873;1492034875;1492034870;1492034863;1492034868
